iter	Passed	Remaining
0	0	416
1	0	347
2	0	326
3	1	311
4	1	302
5	1	296
6	2	293
7	2	289
8	2	288
9	2	285
10	3	283
11	3	282
12	3	280
13	4	281
14	4	280
15	4	280
16	4	283
17	5	285
18	5	284
19	5	284
20	6	282
21	6	282
22	6	283
23	6	283
24	7	284
25	7	283
26	7	283
27	8	282
28	8	283
29	8	284
30	9	284
31	9	284
32	9	284
33	10	284
34	10	283
35	10	283
36	10	283
37	11	282
38	11	281
39	11	281
40	11	280
41	12	279
42	12	278
43	12	277
44	13	277
45	13	276
46	13	275
47	13	275
48	14	275
49	14	274
50	14	274
51	15	273
52	15	273
53	15	272
54	15	271
55	16	271
56	16	270
57	16	270
58	16	269
59	17	269
60	17	268
61	17	268
62	18	267
63	18	267
64	18	266
65	18	266
66	19	266
67	19	265
68	19	264
69	19	264
70	20	263
71	20	263
72	20	262
73	20	262
74	21	261
75	21	261
76	21	261
77	22	261
78	22	261
79	22	261
80	23	261
81	23	260
82	23	260
83	23	259
84	24	259
85	24	259
86	24	259
87	25	259
88	25	258
89	25	258
90	25	258
91	26	257
92	26	257
93	26	257
94	26	256
95	27	256
96	27	255
97	27	255
98	28	254
99	28	254
100	28	252
101	28	252
102	28	252
103	29	251
104	29	251
105	29	251
106	30	250
107	30	250
108	30	250
109	30	249
110	31	249
111	31	249
112	31	248
113	31	248
114	32	247
115	32	247
116	32	246
117	33	246
118	33	246
119	33	245
120	33	245
121	34	245
122	34	244
123	34	244
124	34	244
125	35	244
126	35	243
127	35	243
128	36	243
129	36	243
130	36	243
131	36	242
132	37	242
133	37	242
134	37	241
135	38	241
136	38	241
137	38	240
138	38	240
139	39	240
140	39	240
141	39	239
142	39	239
143	40	239
144	40	239
145	40	238
146	41	238
147	41	238
148	41	238
149	41	237
150	42	237
151	42	237
152	42	236
153	43	236
154	43	236
155	43	235
156	43	235
157	44	234
158	44	234
159	44	234
160	44	233
161	45	233
162	45	233
163	45	232
164	45	232
165	46	232
166	46	232
167	46	231
168	47	231
169	47	230
170	47	230
171	47	230
172	48	229
173	48	229
174	48	229
175	48	229
176	49	228
177	49	228
178	49	228
179	50	227
180	50	227
181	50	227
182	50	227
183	51	227
184	51	226
185	51	226
186	52	226
187	52	225
188	52	225
189	52	225
190	53	225
191	53	224
192	53	224
193	53	224
194	54	223
195	54	223
196	54	223
197	55	223
198	55	222
199	55	222
200	55	222
201	56	222
202	56	222
203	56	221
204	57	221
205	57	221
206	57	221
207	57	220
208	58	220
209	58	220
210	58	219
211	59	219
212	59	219
213	59	218
214	59	217
215	59	217
